Comment,Designator,Footprint,jlc-partNo
LED,"LED1, LED2, LED3, LED4",0805,C2987021
1.2k,R3,0805,C17379
2.4k,"R1, R2, R4, R5, R6",0805,C17526
510R,"R7, R8",0805,C17734
100nF,C15,0402,C307331
22uF,"C3, C17, C19",1206,C12891
100nF,C9,CAPMP3216X180N,C7173
330nF,C8,CAPMP3216X180N,C8014
1uF,C11,CAPMP3216X180N,C7176
2.2uF,C10,CAPMP3528X210N,C19276
B360A-13-F,"D1, D2",DO-214AC,C94193
33uH,L3,L2012C,C383405
