Designator,Comment,Footprint,JLC PartNo.
"J3, J4, J5, J10",2X3PIN,SMT,C780054
"J1, J2, J6, J7, J8, J9, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31, J32, J33, J34",2X8PIN,SMT,C2685064
